idx,matchtype,partid,ppartid
413,0,n376,n373
414,0,n383,n380
415,0,n384,n381
416,0,n385,n382
417,0,n386,n383
418,0,n388,n385
419,0,n387,n384
420,0,n390,n387
421,0,n389,n386
422,0,n392,n389
423,0,n391,n388
424,0,n395,n392
425,0,n394,n391
426,0,n393,n390
427,0,n397,n394
428,0,n396,n393
429,0,n399,n396
430,0,n398,n395
431,0,n401,n398
432,0,n400,n397
433,0,n404,n401
434,0,n403,n400
435,0,n402,n399
436,0,n407,n404
437,0,n406,n403
438,0,n405,n402
439,0,n410,n407
440,0,n409,n406
441,0,n408,n405
442,0,n412,n409
443,0,n411,n408
444,1,n411voice_overlap,undefined
445,0,n415,n411
446,0,n414,n412
447,0,n413,n410
448,0,n417,n414
449,0,n416,n413
450,0,n419,n415
451,0,n418,n416
452,0,n421,n418
453,0,n420,n417
454,0,n424,n420
455,0,n423,n421
456,0,n422,n419
457,0,n427,n422
458,0,n426,n424
459,0,n425,n423
460,0,n430,n426
461,0,n429,n427
462,0,n428,n425
463,0,n432,n429
464,0,n431voice_overlap,n428
465,1,n431,undefined
466,0,n435,n431
467,0,n434,n432
468,0,n433,n430
469,0,n433,n447
470,0,n437,n433
471,0,n436,n434
472,0,n439,n435
473,0,n438,n436
474,0,n441,n437
475,0,n440,n438
476,0,n443,n439
477,0,n442,n440
478,0,n445,n442
479,0,n444,n441
480,0,n447,n444
481,0,n446,n443
482,0,n449,n446
483,0,n448,n445
484,1,n454,undefined
485,0,n453,n449
486,0,n452,n451
487,0,n451,n450
488,1,n450,undefined
489,2,undefined,n161
