idx,matchtype,partid,ppartid
600,2,undefined,n334
601,2,undefined,n335
602,2,undefined,n352
603,2,undefined,n354
604,2,undefined,n356
605,2,undefined,n358
606,2,undefined,n362
607,2,undefined,n374
608,2,undefined,n380
609,2,undefined,n384
610,2,undefined,n386
611,2,undefined,n388
612,2,undefined,n391
613,2,undefined,n394
614,2,undefined,n395
615,2,undefined,n396
616,2,undefined,n397
617,2,undefined,n398
618,2,undefined,n399
619,2,undefined,n400
620,2,undefined,n401
621,2,undefined,n403
622,2,undefined,n404
623,2,undefined,n405
624,2,undefined,n412
625,2,undefined,n413
626,2,undefined,n414
627,2,undefined,n415
628,2,undefined,n416
629,2,undefined,n417
630,2,undefined,n418
631,2,undefined,n419
632,2,undefined,n420
633,2,undefined,n421
634,2,undefined,n422
635,2,undefined,n423
636,2,undefined,n424
637,2,undefined,n425
638,2,undefined,n427
639,2,undefined,n428
640,2,undefined,n429
641,2,undefined,n450
